OYO 12677 Vinayak Royal Palace,"c block bh 165 sec 71 noida, Noida","889
",4.2
OYO 11871 Mascot Sizzle,"A/5 sec 55 noida, Noida","890
",4.4
OYO 12774 Akash Residency,"Sector 108, Noida","891
",4.4
OYO 708 Hotel Sanjeevni,"Sector 34, Noida","911
",4.0
OYO 10806 Sector 50,"Sector 50, Noida","931
",4.0
OYO 1450 Hotel Ashray,"Near Canara Bank, Sector 43, Noida","942
",4.4
OYO 8876 Hotel Sarthi,"Near Kanchanga Market, Block A Community Center, Noida","974
",4.4
OYO 8438 DSR Residency,"Sector-108, Noida","993
",4.5
OYO 9841 The Vivir 1,"Near R.K Public School, Sector-66, Noida",999,4.5
OYO 8931 Noida Stay,"Near Noida Spice Mall, Sector 31, Noida",999,4.6
OYO 8910 Celeste Inn,"Near Awana Complex, Greater Noida, Noida",999,New
OYO 10177 A Gulshan Continental,"E 147 sector 20 main road near diviksha eye clinic, Noida",999,New
OYO Flagship 273 Noida Expressway SEZ,"Block C, Sector 61, Noida",1201,4.4
OYO 12784 Hotel Roomers,"AK Plaza, 1st Floor Main Jagat Farm Market, Block E, Chandila, Gamma 1, Greater Noida, Noida",1201,4.4
OYO 5574 Cosy Tree Inn,"Near Max Hospital, Sector 19, Sector 19, Noida",1201,4.4
OYO 5179 Hotel Noida International,"Opp. Mercedes Showroom, Sec 11, Main Road, Noida",1232,4.4
OYO 8430 Absin Hospitality,"Alpha-1, Greater Noida, Noida",1325,4.4
OYO Flagship 184 Spice Mall,"Sector 26, Noida",1360,4.4
OYO 10666 Sector 15,"Sector 15, Above Union Bank, Noida",1521,4.2
OYO 13435 Atithi Suites,"C34, Knowledge Park III. Near IIMT, Noida",1714,4.2
OYO Flagship 136 Sector 45 Noida,"Sector 45, Noida",999,3.4
OYO 9071 Mascot Residency,"Opp. Kailash Hospital, Sector 26, Noida",999,3.4
OYO 9601 Hotel Sunshine Residency Castle,"Sector-71, Noida",1201,4.4
OYO 2290 Hotel Cosy Tree,"Near Amarpali Sapphire, Sector 44, Noida",1201,4.4
OYO 10665 Sector 20,"Sector 20, Noida",1214,4.3
OYO 10661 DSR Classic,"Near Mother Diary, Block H, Sector 12, Noida",1314,4.3
OYO 380 Hotel Atithee Residency,"C-79, Sector 30, Noida",1350,4.4
OYO 9223 near Atta Market,"Sector 19, Noida",1423,4.4
OYO 2806 Celeste Residency,"Delhi Police Housing Society, Sector Pi - 1 Greater Noida, Noida",1649,4.5
OYO 7101 Crystal Residency,"Delhi Police Housing Society, Greater Noida, Noida",1724,4.5
OYO Townhouse 028 Corporate Suite,"Sector 62, Noida",1759,New
OYO Townhouse 004 Sector 51 Noida,"Sector 51, Noida",1999,New
OYO 10113 Hotel New Corporate Residency,"Vyapar Marg, Buddh Vihar, Block I, Sector 12, Metro Hopistal , Noida","815
",4.3
OYO 11362 Sky Residency,"Gate No 1, Sec108, Noida","856
",4.3
OYO 270 Home Stay Inn,"Sector -70, Noida","856
",4.3
OYO 4029 Cosy Tree Rooms,"Opp. Indo Gulf Hospital, Sector 27, Noida","936
",4.3
OYO 598 Hotel B K House,"Sector 51, Noida",1201,4.7
OYO 11872 Heaven Inn,"A195 sec 43 , Noida",1307,4.7
OYO 4644 Stay@Bh203,"Sector 70, Noida",1312,4.3
OYO 402 Hotel Noida Residency,"Near ONGC Building, Sector 39, Noida",1344,4.3
OYO 1062 Sector 2,"Near Noida Sector 15 Metro Station, Sector 2, Noida",1789,4.5
OYO 9075 Petals Inn,"Sector 51, Noida","660
",4.5
OYO 9705 Hotel Paradise Residency,"Sector 93A, Noida","822
",3.9
OYO 10669 Hotel Comfort Stay Inn,"Sector 108, Noida","856
",3.9
OYO 9588 Sector 46,"Sector 46, Noida","881
",4.3
OYO Flagship 144 Noida Expressway NSEZ,"A Block, Sector 92, Noida","960
",4.3
OYO Flagship 140 Noida Expressway Boulevard,"D Block, Sector 47, Noida",1299,4.4
OYO 11533 Hotel Green view,"Sector 72, Noida",1309,4.4
OYO 11752 Divine Residency,"c24 Sector 61, Noida",1324,New
OYO 11392 Hotel NCR Hospitality,"Main Dadri Road, Noida",1403,4.9
